tablescraper-selected-row,tablescraper-selected-row 2,tablescraper-selected-row href,tablescraper-selected-row 3,tablescraper-selected-row href 2,tablescraper-selected-row 4,tablescraper-selected-row href 3,tablescraper-selected-row 5,tablescraper-selected-row href 4,tablescraper-selected-row 28
Third Prime Time Press Conference (Iran & Heath Care),mp3,https://www.americanrhetoric.com/mp3clips/barackobama/barackobamathirdpressconferenceiranhealthcare.mp3,PDF,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20Third%20Major%20Press%20Conference.pdf,,https://www.americanrhetoric.com/speeches/barackobama/barackobamapressconferenceiranandhealthcare.htm,,,23 Jun 2009
Moscow New Economic School Speech,mp3,https://www.americanrhetoric.com/mp3clips/barackobama/barackobamamoscownes.mp3,PDF,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20Moscow%20New%20Economic%20School.pdf,,https://www.americanrhetoric.com/speeches/barackobama/barackobamaneweconomicschool.htm,,,07 Jul 2009
Ghanaian Parliament Address,PDF,https://www.americanrhetoric.com/mp3clipsXE/barackobama/barackobamaghanaparliamentARXE.mp3,mp3,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20Ghana%20Parliament.pdf,,https://www.americanrhetoric.com/speeches/barackobama/barackobamaghanaparliament.htm,,,11 Jul 2009
Nomination of Regina Benjamin for Surgeon General,mp3,https://www.americanrhetoric.com/mp3clipsXE/barackobama/barackobamasurgeongeneralnominationARXE.mp3,PDF,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20Regina%20Benjamin%20Nomination.pdf,,https://www.americanrhetoric.com/speeches/barackobama/barackobamasurgeongeneralnomination.htm,,,13 Jul 2009
American Graduation Initiative Speech,mp3,https://www.americanrhetoric.com/mp3clipsXE/barackobama/barackobamaamericangraduationinitiativeARXE.mp3,PDF,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20Graduation%20Initiative.pdf,,https://www.americanrhetoric.com/speeches/barackobama/barackobamaamericangraduationinitiative.htm,,,14 Jul 2009
Eulogy for Ted Kennedy,mp3,https://www.americanrhetoric.com/mp3clipsXE/barackobama/barackobamatedkennedyeulogyARXE.mp3,PDF,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20Ted%20Kennedy%20Eulogy.pdf,,https://www.americanrhetoric.com/speeches/barackobama/barackobamaeulogytedkennedy.htm,,,29 Aug 2009
Back-to-School Speech to America's Schoolchildren,mp3,https://www.americanrhetoric.com/mp3clipsXE/barackobama/barackobamabacktoschoolspeechstudentsARXE.mp3,PDF,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20Wakefield%20Back%20to%20High%20School.pdf,,https://www.americanrhetoric.com/speeches/barackobama/barackobamabacktoschoolspeech.htm,,,08 Sep 2009
"Eulogy for 
		Walter Cronkite,mp3,https://www.americanrhetoric.com/mp3clipsXE/barackobama/barackobamawaltercronkiteeulogyARXE.mp3,PDF,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20Walter%20Cronkite%20Memorial.pdf,,https://www.americanrhetoric.com/speeches/barackobama/barackobamawaltercronkiteeulogy.htm,,,09 Sep 2009"
Joint Session of Congress Heath Care Speech,mp3,https://www.americanrhetoric.com/mp3clipsXE/barackobama/barackobamajointsessionhealthcareARXE.mp3,PDF,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20To%20Congress%20on%20Health%20Care.pdf,,https://www.americanrhetoric.com/speeches/barackobama/barackobamajointsessionhealthcare.htm,,,09 Sep 2009
"</br>
     (adsbygoogle = window.adsbygoogle || []).push({});,,,,,,,,,"
9/11 Pentagon Memorial Speech,mp3,https://www.americanrhetoric.com/mp3clipsXE/barackobama/barackobama911pentagonmemorialspeechARXE.mp3,PDF,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20911%20Pentagon%20Memorial%202009.pdf,,https://www.americanrhetoric.com/speeches/barackobama/barackobama911pentagonmemorialspeech.htm,,,11 Sep 2009
United Nations 64th Session General Assembly Speech,mp3,https://www.americanrhetoric.com/mp3clipsXE/barackobama/barackobamaungeneralassemblyARXE.mp3,PDF,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20United%20Nations%20General%20Assembly.pdf,,https://www.americanrhetoric.com/speeches/barackobama/barackobamaunitednations64.htm,,,23 Sep 2009
Fort Hood Memorial Service Speech,mp3,https://www.americanrhetoric.com/mp3clipsXE/barackobama/barackobamaforthoodmemorialARXE.mp3,PDF,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20Fort%20Hoot%20Memorial.pdf,,https://www.americanrhetoric.com/speeches/barackobama/barackobamaforthoodmemorial.htm,,,10 Nov 2009
Town Hall Address in Shanghai,mp3,https://www.americanrhetoric.com/mp3clipsXE/barackobama/barackobamashanghaitownhallARXE.mp3,,,,https://www.americanrhetoric.com/speeches/barackobama/barackobamashanghaitownhall.htm,,,16 Nov 2009
Afghanistan Troop Surge at the U.S. Military Academy,mp3,https://www.americanrhetoric.com/mp3clipsXE/barackobama/barackobamawestpointARXE.mp3,PDF,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20Afghanistan%20War%20Troop%20Surge.pdf,,https://www.americanrhetoric.com/speeches/barackobama/barackobamawestpointafghanistan.htm,,,01 Dec 2009
Kennedy Center Honorees Address,mp3,https://www.americanrhetoric.com/mp3clipsXE/barackobama/barackobamakennedycenterhonorees2009ARXE.mp3,PDF,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20Kennedy%20Center%20Honorees%202009.pdf,,https://www.americanrhetoric.com/speeches/barackobama/barackobamakennedycenterhonorees2009.htm,,,06 Dec 2009
Brookings Institution Speech on Job Creation,mp3,https://www.americanrhetoric.com/mp3clipsXE/barackobama/barackobamabrookingsARXE.mp3,PDF,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20Brookings%20Institute.pdf,,https://www.americanrhetoric.com/speeches/barackobama/barackobamabrookingsinstitute.htm,,,08 Dec 2009
Nobel Prize for Peace Speech and Lecture,PDF,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20Nobel%20Lecture.pdf,,,,https://www.americanrhetoric.com/speeches/barackobama/barackobamanobelprizespeech.htm,,,10 Dec 2009
UN Copenhagen Climate Change Conference Speech,mp3,https://www.americanrhetoric.com/mp3clipsXE/barackobama/barackobamacopenhagenclimatechangeARXE.mp3,PDF,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20UN%20Copenhagen%20Climate%20Change.pdf,,https://www.americanrhetoric.com/speeches/barackobama/barackobamaunitednationsclimatechange.htm,18 Dec 2009,,
On NW Flight 253 Terrorist Threat and Iran Violence,mp3,https://www.americanrhetoric.com/mp3clipsXE/barackobama/barackobamaflight253andiranARXE.mp3,PDF,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20Flight%20253%20Terrorist%20Attempt%20Press%20Statement.pdf,,https://www.americanrhetoric.com/speeches/barackobama/barackobamaflight253terrorismiranviolence.htm,28 Dec 2009,,
"NW Flight 253 Attempted Terrorist 
			Attack Update,mp3,https://www.americanrhetoric.com/mp3clipsXE/barackobama/barackobamanwflight253incidentupdateARXE.mp3,PDF,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20NW%20Flight%20253%20Update.pdf,,https://www.americanrhetoric.com/speeches/barackobama/barackobamadetroitterroristincident.htm,29 Dec 2009,,"
National Security Review Press Conference,mp3,https://www.americanrhetoric.com/mp3clips/barackobama/barackobamassecurityteamreviewpressconference.mp3,PDF,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20Presser%20XMas%20Terrorist%20Attempt.pdf,,https://www.americanrhetoric.com/speeches/barackobama/barackobamasecurityreviewpressconference.htm,05 Jan 2010,,
"Security Review 
			Results and Aviation Security,mp3,https://www.americanrhetoric.com/mp3clipsXE/barackobama/barackobamaaviationsecurityARXE.mp3,PDF,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20Aviation%20Security.pdf,,https://www.americanrhetoric.com/speeches/barackobama/barackobamaaviationsecurity.htm,07 Jan 2010,,"
Speech on Financial Crisis Responsibility Fee,mp3,https://www.americanrhetoric.com/mp3clipsXE/barackobama/barackobamafinancialcrisisfeeARXE.mp3,PDF,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20Finance%20Crisis%20Fee.pdf,,https://www.americanrhetoric.com/speeches/barackobama/barackobamafinancialcrisisresponsiblityfee.htm,14 Jan 2010,,
Martin Luther King Remembrance Speech,mp3,https://www.americanrhetoric.com/mp3clips/barackobama/barackobamamlkremembrance.mp3,PDF,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20MLK%20Remembrance.pdf,,https://www.americanrhetoric.com/speeches/barackobama/barackobamamlkremembrancespeech.htm,17 Jan 2010,,
Lorain County Town Hall Speech and Q&A,mp3,https://www.americanrhetoric.com/mp3clips/barackobama/barackobamaloraincountytownhall.mp3,,,PDF,https://www.americanrhetoric.com/speeches/barackobama/barackobamaloraincountytownhallspeech.htm,22 Jan 2010,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20Lorain%20County%20Community%20College.pdf,
Auschwitz and Birkenau Remembrance Message,mp3,https://www.americanrhetoric.com/mp3clipsXE/barackobama/barackobamaauschwitzbirkenauARXE.mp3,PDF,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20Auschwitz%20and%20Birkenau%20Liberation%2065th.pdf,,https://www.americanrhetoric.com/speeches/barackobama/barackobamaauschwitzbirkenauliberation65.htm,27 Jan 2010,,
"First 
			Presidential State of the Union Speech,mp3,https://www.americanrhetoric.com/mp3clipsXE/stateoftheunion/barackobamasou2010ARXE.mp3,PDF,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20State%20of%20the%20Union%202010.pdf,,https://www.americanrhetoric.com/speeches/stateoftheunion2010.htm,27 Jan 2010,,"
GOP Issues Conference Forum Dialogue,mp3,https://www.americanrhetoric.com/mp3clips/barackobama/barackobamagopforumdiscussion.mp3,PDF,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20GOP%20House%20Issues%20Conference.pdf,,https://www.americanrhetoric.com/speeches/barackobama/barackobamagophouseissuesconference.htm,29 Jan 2010,,
Press Conference on 2010 Budget Sent to Congress,mp3,https://www.americanrhetoric.com/mp3clipsXE/barackobama/barackobamabudgettocongress2010ARXE.mp3,PDF,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%202010%20Budget%20to%20Congress.pdf,,https://www.americanrhetoric.com/speeches/barackobama/barackobama2010budgettocongress.htm,01 Feb 2010,,
Speech at the 58th National Prayer Breakfast,mp3,https://www.americanrhetoric.com/speeches/barackobama/barackobama2010prayerbreakfastspeech.htm,PDF,https://www.americanrhetoric.com/mp3clipsXE/barackobama/barackobamaprayerbreakfast2010ARXE.mp3,,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20Prayer%20Breakfast%202010.pdf,,,04 Feb 2010
Unannounced Briefing on Health Care and Jobs,mp3,https://www.americanrhetoric.com/mp3clips/barackobama/barackobamasuprisepresser.mp3,PDF,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20Presser%20Unannounced%20Heath%20Care.pdf,,https://www.americanrhetoric.com/speeches/barackobama/barackobamajobshealthcarebriefing.htm,09 Feb 2010,,
Town Hall at Green Valley High School,mp3,https://www.americanrhetoric.com/mp3clipsXE/barackobama/barackobamagreenvalleyhsARXE.mp3,,,,https://www.americanrhetoric.com/speeches/barackobama/barackobamahendersontownhall.htm,19 Feb 2010,,
Vote Push on Heath Care Reform Legislation,mp3,https://www.americanrhetoric.com/mp3clipsXE/barackobama/barackobamahealthcarecongresscallARXE.mp3,PDF,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20Congress%20Call%20Health%20Care%20Reform.pdf,,https://www.americanrhetoric.com/speeches/barackobama/barackobamaheathcarevotenow.htm,03 Mar 2010,,
Blueprint for Reforming No Child Left Behind Act,mp3,https://www.americanrhetoric.com/mp3clips/barackobama/barackobamaweeklyaddressnochildleftbehind.mp3,PDF,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20No%20Child%20Left%20Behind%20Blueprint.pdf,,https://www.americanrhetoric.com/speeches/barackobama/barackobamanochildleftbehind.htm,13 Mar 2010,,
Health Care Speech at George Mason University,mp3,https://www.americanrhetoric.com/mp3clips/barackobama/barackobamageorgemasonhealthcare.mp3,PDF,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20Health%20Care%20George%20Mason.pdf,,https://www.americanrhetoric.com/speeches/barackobama/barackobamahealthcaregeorgemason.htm,19 Mar 2010,,
Speech to House Democratic Caucus on Health Care,mp3,https://www.americanrhetoric.com/mp3clipsXE/barackobama/barackobamahousedemocraticcaucusARXE.mp3,PDF,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20Democrat%20Caucus%20Health%20Care.pdf,,https://www.americanrhetoric.com/speeches/barackobama/barackobamahousedemocraticcongresshealthcare.htm,20 Mar 2010,,
"Speech 
			on House Passage of Health Care Reform Bill,mp3,https://www.americanrhetoric.com/mp3clipsXE/barackobama/barackobamawhatchangelookslikeARXE.mp3,PDF,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20Health%20Care%20Bill%20Passage.pdf,,https://www.americanrhetoric.com/speeches/barackobama/barackobamapassinghealthcarebill.htm,21 Mar 2010,,"
Speech on Signing Health Care Reform Bill into Law,mp3,https://www.americanrhetoric.com/mp3clipsXE/barackobama/barackobamasigningheathcarereformbillARXE.mp3,PDF,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20Health%20Care%20Law%20Signing.pdf,,https://www.americanrhetoric.com/speeches/barackobama/barackobamahealthreformbillsigning.htm,23 Mar 2010,,
Speech to U.S. Military in Afghanistan,mp3,https://www.americanrhetoric.com/mp3clips/barackobama/barackobamaafghanistantroops.mp3,PDF,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20Afghanistan%20US%20Troops%20Bagram.pdf,,https://www.americanrhetoric.com/speeches/barackobama/barackobamatroopsafghanistan.htm,28 Mar 2010,,
"Speech 
			on Energy Security at Andrews Air Force Base,mp3,https://www.americanrhetoric.com/mp3clipsXE/barackobama/barackobamaenergyandrewsafbARXE.mp3,PDF,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20Energy%20Security%20AAFB.pdf,,https://www.americanrhetoric.com/speeches/barackobama/barackobamaenergysecurityandrewsafb.htm,31 Mar 2010,,"
START Treaty Joint Presser with Medvedev,mp3,https://www.americanrhetoric.com/mp3clipsXE/barackobama/barackobamastarttreatyARXE.mp3,PDF,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20START%20Treaty%20Presser.pdf,,https://www.americanrhetoric.com/speeches/barackobama/barackobamastarttreaty.htm,08 Apr 2010,,
On Justice Stevens and West Virginia Mining Tragedy,mp3,https://www.americanrhetoric.com/mp3clipsXE/barackobama/barackobamawvmineandstevensARXE.mp3,PDF,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20Justice%20Stevens%20and%20West%20Virginia%20Mining%20Tragedy.pdf,,https://www.americanrhetoric.com/speeches/barackobama/barackobamawvminejusticestevens.htm,09 Apr 2010,,
NASA Space Exploration in the 21st Century Speech,mp3,https://www.americanrhetoric.com/mp3clipsXE/barackobama/barackobamanasa21stcenturyARXE.mp3,,,PDF,https://www.americanrhetoric.com/speeches/barackobama/barackobamanasaboldcourse.htm,15 Apr 2010,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20NASA%2021st%20Century.pdf,
Cooper Union Speech on Wall Street Financial Reform,mp3,https://www.americanrhetoric.com/mp3clipsXE/barackobama/barackobamawallstreetreformARXE.mp3,PDF,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20Reforming%20Wall%20Street.pdf,,https://www.americanrhetoric.com/speeches/barackobama/barackobamareformingwallstreet.htm,22 Apr 2010,,
Eulogy for Upper Big Branch Miners,mp3,https://www.americanrhetoric.com/mp3clipsXE/barackobama/barackobamaeulogycoalminersARXE.mp3,PDF,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20Eulogy%20West%20Virginia%20Coal%20Miners.pdf,,https://www.americanrhetoric.com/speeches/barackobama/barackobamaeulogycoalminers.htm,25 Apr 2010,,
Eulogy for Dorothy Height,mp3,https://www.americanrhetoric.com/mp3clips/barackobama/barackobamadorothyheight.mp3,PDF,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20Dorothy%20Height%20Eulogy.pdf,,https://www.americanrhetoric.com/speeches/barackobama/barackobamadorothyheight.htm,29 Apr 2010,,
Commencement Speech at Michigan University,mp3,https://www.americanrhetoric.com/mp3clipsXE/barackobama/barackobamauniversitymichigancommencementARXE.mp3,,,PDF,https://www.americanrhetoric.com/speeches/barackobama/barackobamauniversityofmichigancommencement.htm,01 May 2010,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20Michigan%20University%20Commencement.pdf,
White House Correspondents Dinner Speech,mp3,https://www.americanrhetoric.com/mp3clipsXE/barackobama/barackobama2010whitehousecorrespondentsARXE.mp3,,,PDF,https://www.americanrhetoric.com/speeches/barackobama/barackobamawhitehousecorrespondentsdinner2010.htm,01 May 2010,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20White%20House%20Correspondents%20Dinner%202010.pdf,
Speech Nominating Elena Kagan for USSC Justice,mp3,https://www.americanrhetoric.com/mp3clipsXE/barackobama/barackobamaelenakegannominationARXE.mp3,,,PDF,https://www.americanrhetoric.com/speeches/barackobama/barackobamaelenakagannomination.htm,10 May 2010,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20Elena%20Kagan%20USSC%20Nomination.pdf,
U.S. Military Academy Commencement Address,mp3,https://www.americanrhetoric.com/mp3clipsXE/barackobama/barackobamawestpointcommencementARXE.mp3,PDF,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20West%20Point%20Commencement%202010.pdf,,https://www.americanrhetoric.com/speeches/barackobama/barackobamawestpointcommencement.htm,22 May 2010,,
Press Conference on Gulf Oil Spill Disaster,mp3,https://www.americanrhetoric.com/mp3clipsXE/barackobama/barackobamaoilspillpresserARXE.mp3,,,PDF,https://www.americanrhetoric.com/speeches/barackobama/barackobamagulfoilspillpresser.htm,27 May 2010,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20BP%20Oil%20Spill%20Presser.pdf,
Grande Isle Briefing on Gulf Oil Spill Disaster,mp3,https://www.americanrhetoric.com/mp3clips/barackobama/barackobamagrandeisleoilspill.mp3,,,PDF,https://www.americanrhetoric.com/speeches/barackobama/barackobamagrandeisleoilspillbriefing.htm,28 May 2010,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20Grande%20Isle%20Briefing.pdf,
Speech on the Economy at Carnegie Mellon,mp3,https://www.americanrhetoric.com/mp3clipsXE/barackobama/barackobamacarnegiemellonARXE.mp3,PDF,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20Carnegie%20Mellon%20Economy.pdf,,https://www.americanrhetoric.com/speeches/barackobama/barackobamacarnegiemellon.htm,02 Jun 2010,,
Kalamazoo Central H.S. Commencement Speech,mp3,https://www.americanrhetoric.com/mp3clipsXE/barackobama/barackobamakalamazooARXE.mp3,PDF,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20Kalamazoo%20HS%20Commencement.pdf,,https://www.americanrhetoric.com/speeches/barackobama/barackobamakalamazoocommencement.htm,07 Jun 2010,,
Speech on UN Security Council Sanctions Against Iran,mp3,https://www.americanrhetoric.com/mp3clipsXE/barackobama/barackobamauniransanctionsARXE.mp3,PDF,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20UN%20Iran%20Sanctions.pdf,,https://www.americanrhetoric.com/speeches/barackobama/barackobamairansanctions.htm,09 Jun 2010,,
"Speech 
			to Military Personnel in Pensacola,mp3,https://www.americanrhetoric.com/mp3clipsXE/barackobama/barackobamapensacolaARXE.mp3,PDF,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20Pensacola%20Military%20Personnel.pdf,,https://www.americanrhetoric.com/speeches/barackobama/barackobamapensacolamilitary.htm,15 Jun 2010,,"
Oval Office Speech on BP Oil Spill Disaster,mp3,https://www.americanrhetoric.com/mp3clipsXE/barackobama/barackobamabpoilspillovalofficeARXE.mp3,PDF,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20Oval%20Office%20BP.pdf,,https://www.americanrhetoric.com/speeches/barackobama/barackobamabpoilspillovaloffice.htm,15 Jun 2010,,
Speech to the American Nurses Association,mp3,https://www.americanrhetoric.com/mp3clipsXE/barackobama/barackobamanursesassociationARXE.mp3,PDF,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20Nurses%20Association.pdf,,https://www.americanrhetoric.com/speeches/barackobama/barackobamanursesassociation.htm,16 Jun 2010,,
Father's Day Speech,mp3,https://www.americanrhetoric.com/mp3clipsXE/barackobama/barackobama2010fathersdayARXE.mp3,PDF,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20Fathers%20Day%202010.pdf,,https://www.americanrhetoric.com/speeches/barackobama/barackobamafathersday2010.htm,21 Jun 2010,,
On the Removal of Gen. McChrystal in Afghanistan,mp3,https://www.americanrhetoric.com/mp3clipsXE/barackobama/barackobamamcchrystalresignationARXE.mp3,PDF,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20General%20McChrystal%20Afghanistan.pdf,,https://www.americanrhetoric.com/speeches/barackobama/barackobamamccrystalremovedafghanistan.htm,23 Jun 2010,,
Comprehensive Immigration Reform Speech,mp3,https://www.americanrhetoric.com/mp3clipsXE/barackobama/barackobamacompimmigrationreformARXE.mp3,PDF,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20Comprehensive%20Immigration%20Reform.pdf,,https://www.americanrhetoric.com/speeches/barackobama/barackobamacomprehensiveimmigrationreform.htm,01 Jul 2010,,
Eulogy for Robert Byrd,mp3,https://www.americanrhetoric.com/mp3clipsXE/barackobama/barackobamarobertbyrdeulogyARXE.mp3,PDF,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20Robert%20Bryd%20Eulogy.pdf,,https://www.americanrhetoric.com/speeches/barackobama/barackobamarobertbyrdeulogy.htm,02 Jul 2010,,
Dodd-Frank Consumer Protection Act Speech,mp3,https://www.americanrhetoric.com/mp3clipsXE/barackobama/barackobamaconsumerprotectionactARXE.mp3,PDF,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20Dodd-Frank%20Signing.pdf,,https://www.americanrhetoric.com/speeches/barackobama/barackobamawallstreetreformactsigning.htm,21 Jul 2010,,
"Urban League Centennial Address on 
			Education,,https://www.americanrhetoric.com/mp3clipsXE/barackobama/barackobamaurballeagueARXE.mp3,mp3,,,https://www.americanrhetoric.com/speeches/barackobama/barackobamaurbanleaguecentennial.htm,29 Jul 2010,,"
Disabled Veterans Conference Speech on Iraq OPS,mp3,https://www.americanrhetoric.com/mp3clipsXE/barackobama/barackobamadisabledveteransARXE.mp3,PDF,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20Disabled%20Veterans%20Conference.pdf,,https://www.americanrhetoric.com/speeches/barackobama/barackobamairaqendingcombat.htm,02 Aug 2010,,
Iftar Dinner Speech on Religious Tolerance,mp3,https://www.americanrhetoric.com/mp3clipsXE/barackobama/barackobamaiftardinnerARXE.mp3,PDF,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20Iftar%20Dinner%20on%20Religious%20Tolerance.pdf,,https://www.americanrhetoric.com/speeches/barackobama/barackobamaiftardinner.htm,13 Aug 2010,,
National Address on Ending Operation Iraqi Freedom,mp3,https://www.americanrhetoric.com/mp3clipsXE/IraqWar/barackobamairaqcombatendARXE.mp3,PDF,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20Iraqi%20Freedom%20End.pdf,,https://www.americanrhetoric.com/speeches/wariniraq/barackobamairaqendofcombatops.htm,31 Aug 2010,,
9/11 Pentagon Memorial Speech,mp3,https://www.americanrhetoric.com/mp3clipsXE/barackobama/barackobama911pentagonmemorialARXE.mp3,PDF,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20911%20Pentagon%20Memorial%202010.pdf,,https://www.americanrhetoric.com/speeches/barackobama/barackobama911pentagonmemorial.htm,11 Sep 2010,,
United Nations 65th Session General Assembly Speech,mp3,https://www.americanrhetoric.com/mp3clipsXE/barackobama/barackobamaunitednations65ARXE.mp3,PDF,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20UNGA%202010.pdf,,https://www.americanrhetoric.com/speeches/barackobama/barackobamaunitednations65.htm,23 Sep 2010,,
Midterm Election Press Conference,mp3,https://www.americanrhetoric.com/mp3clipsXE/barackobama/barackobamacongresspresserARXE.mp3,PDF,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20Midterm%20Elections%20Presser%202010.pdf,,https://www.americanrhetoric.com/speeches/barackobama/barackobamamidtermpresser.htm,03 Nov 2010,,
U.S.-Indian Business Summit Address,mp3,https://www.americanrhetoric.com/mp3clips/barackobama/barackobamaindianbusinesssummit.mp3,,,,https://www.americanrhetoric.com/speeches/barackobama/barackobamamumbaibusinesssummit.htm,06 Nov 2010,,
Indian Parliament Joint Session Speech,mp3,https://www.americanrhetoric.com/mp3clipsXE/barackobama/barackobamaindianparliamentARXE.mp3,PDF,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20Indian%20Parliament.pdf,,https://www.americanrhetoric.com/speeches/barackobama/barackobamaindianparliament.htm,08 Nov 2010,,
Indonesia University Speech,mp3,https://www.americanrhetoric.com/mp3clipsXE/barackobama/barackobamaindonesiauniversityARXE.mp3,PDF,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20Indonesia%20University.pdf,,https://www.americanrhetoric.com/speeches/barackobama/barackobamaindonesiauniversity.htm,10 Nov 2010,,
Medal of Honor Award to Salvatore Giunta Speech,mp3,https://www.americanrhetoric.com/mp3clips/barackobama/barackobamamedalofhonorgiunta.mp3,PDF,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20Salvatore%20Giunta%20Medal%20of%20Honor.pdf,,https://www.americanrhetoric.com/speeches/barackobama/barackobamagiuntamedalofhonor.htm,16 Nov 2010,,
Speech to Troops at Bagram Air Field,mp3,https://www.americanrhetoric.com/mp3clipsXE/barackobama/barackobamabagramairbaseARXE.mp3,PDF,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20Bagram%20Air%20Base%20December%202010.pdf,,https://www.americanrhetoric.com/speeches/barackobama/barackobamabagramairfield.htm,03 Dec 2010,,
